  idx    bwx    bwy    wox    woy  atom          wix    wiy    bk    wk    mtb    bx    by    regs    smem    latency
  100      1      2      3      1  custom_4x8      4      4     4     1      8    48    64     120    3584      0.056
   90      2      2      1      3  row_4x8         4      4     4     1      4    32   192     120    7168      0.056
  103      2      1      3      1  row_2x16        4      4     4     1      8    48    64     120    3584      0.056
  105      2      2      3      1  custom_4x8      4      4     4     1      4    96    64     120    5120      0.056
  120      2      1      2      3  row_4x8         4      4     4     1      5    64    96     176    5120      0.056
  121      2      1      2      3  custom_4x8      4      4     4     1      5    64    96     176    5120      0.056
   93      4      2      1      3  custom_4x8      4      4     4     1      2    64   192     120    8192      0.057
   95      4      2      1      3  custom_4x8      4      4     8     1      2    64   192     120   16384      0.057
   99      1      2      3      1  row_4x8         4      4     4     1      8    48    64     120    3584      0.057
  141      1      2      3      2  custom_4x8      4      4     4     1      5    48   128     176    5632      0.057
   94      4      2      1      3  row_4x8         4      4     8     1      2    64   192     120   16384      0.057
  140      1      2      3      2  row_4x8         4      4     4     1      5    48   128     176    5632      0.057
  125      2      2      2      3  row_2x16        4      4     4     1      2    32   384     184   13312      0.057
  112      2      4      3      1  custom_4x8      4      4     8     1      2    96   128     120   14336      0.057
  138      1      1      3      2  row_4x8         4      4     4     1     11    48    64     184    3584      0.058
   92      4      2      1      3  row_4x8         4      4     4     1      2    64   192     120    8192      0.058
   89      2      1      1      3  custom_4x8      4      4     4     1      8    32    96     120    4096      0.058
  144      2      1      3      2  row_2x16        4      4     4     1      5    48   128     176    5632      0.058
  101      2      1      3      1  row_4x8         4      4     4     1      8    96    32     120    4096      0.059
  116      1      1      2      3  row_4x8         4      4     4     1     11    32    96     184    4096      0.059
  117      1      1      2      3  custom_4x8      4      4     4     1     11    32    96     184    4096      0.059
  111      2      4      3      1  row_4x8         4      4     8     1      2    96   128     120   14336      0.059
  145      2      2      3      2  row_4x8         4      4     4     1      2    96   128     176    7168      0.059
  115      4      2      3      1  row_2x16        4      4     8     1      2    96   128     120   14336      0.059
  124      2      2      2      3  custom_4x8      4      4     4     1      2    64   192     176    8192      0.059
  146      2      2      3      2  custom_4x8      4      4     4     1      2    96   128     176    7168      0.059
  107      4      2      3      1  custom_4x8      4      4     4     1      2   192    64     120    8192      0.060
  102      2      1      3      1  custom_4x8      4      4     4     1      8    96    32     120    4096      0.060
  106      4      2      3      1  row_4x8         4      4     4     1      2   192    64     120    8192      0.061
  123      2      2      2      3  row_4x8         4      4     4     1      2    64   192     176    8192      0.061
  139      1      1      3      2  custom_4x8      4      4     4     1     11    48    64     184    3584      0.062
  142      2      1      3      2  row_4x8         4      4     4     1      5    96    64     176    5120      0.062
   84      2      4      2      2  row_2x16        4      4     8     1      1    32   512     152   34816      0.063
  122      2      1      2      3  row_2x16        4      4     4     1      5    32   192     184    7168      0.063
   83      2      4      2      2  custom_4x8      4      4     8     1      1    64   256     144   20480      0.064
  119      1      2      2      3  custom_4x8      4      4     4     1      5    32   192     184    7168      0.064
  143      2      1      3      2  custom_4x8      4      4     4     1      5    96    64     176    5120      0.064
   82      2      4      2      2  row_4x8         4      4     8     1      1    64   256     144   20480      0.064
  118      1      2      2      3  row_4x8         4      4     4     1      5    32   192     184    7168      0.065
   68      1      2      2      2  custom_4x8      4      4     4     1      7    32   128     144    5120      0.065
   67      1      2      2      2  row_4x8         4      4     4     1      7    32   128     144    5120      0.065
   85      4      2      2      2  row_4x8         4      4     8     1      1   128   128     136   16384      0.066
   87      4      2      2      2  row_2x16        4      4     8     1      1    64   256     144   20480      0.066
   78      4      2      2      2  custom_4x8      4      4     4     1      1   128   128     136    8192      0.066
   77      4      2      2      2  row_4x8         4      4     4     1      1   128   128     136    8192      0.067
   86      4      2      2      2  custom_4x8      4      4     8     1      1   128   128     136   16384      0.067
   76      2      4      2      2  custom_4x8      4      4     4     1      1    64   256     136   10240      0.068
   69      2      1      2      2  row_4x8         4      4     4     1      7    64    64     136    4096      0.069
   75      2      4      2      2  row_4x8         4      4     4     1      1    64   256     136   10240      0.069
   71      2      1      2      2  row_2x16        4      4     4     1      7    32   128     144    5120      0.069
   70      2      1      2      2  custom_4x8      4      4     4     1      7    64    64     136    4096      0.070
   79      4      2      2      2  row_2x16        4      4     4     1      1    64   256     136   10240      0.070
  162      2      1      3      3  custom_4x8      4      4     4     1      4    96    96     232    6144      0.076
  161      2      1      3      3  row_4x8         4      4     4     1      4    96    96     232    6144      0.078
  158      1      1      3      3  custom_4x8      4      4     4     1      8    48    96     240    4608      0.079
  160      1      2      3      3  custom_4x8      4      4     4     1      4    48   192     232    7680      0.079
  159      1      2      3      3  row_4x8         4      4     4     1      4    48   192     232    7680      0.080
  163      2      1      3      3  row_2x16        4      4     4     1      4    48   192     232    7680      0.081
  157      1      1      3      3  row_4x8         4      4     4     1      8    48    96     240    4608      0.082
  165      2      2      3      3  custom_4x8      4      4     4     1      2    96   192     232    9216      0.087
  164      2      2      3      3  row_4x8         4      4     4     1      2    96   192     232    9216      0.087
  126      2      4      2      3  row_4x8         4      4     4     1      1    64   384     176   14336      0.088
  127      2      4      2      3  custom_4x8      4      4     4     1      1    64   384     176   14336      0.090
  130      4      2      2      3  row_2x16        4      4     4     1      1    64   384     176   14336      0.090
  128      4      2      2      3  row_4x8         4      4     4     1      1   128   192     176   10240      0.092
  129      4      2      2      3  custom_4x8      4      4     4     1      1   128   192     176   10240      0.094
  148      4      2      3      2  custom_4x8      4      4     4     1      1   192   128     176   10240      0.094
  147      4      2      3      2  row_4x8         4      4     4     1      1   192   128     176   10240      0.095
  151      2      2      3      2  row_2x16        4      4     8     1      2    48   256     184   19456      0.113
   80      2      2      2      2  row_4x8         4      4     8     1      3    64   128     144   12288      0.118
   81      2      2      2      2  custom_4x8      4      4     8     1      3    64   128     144   12288      0.120
